workload,N,dtype,device,variant,ms,speedup,compile_s,maxdiff,ok,note
spring,1000,float32,cuda,eager_fwd(lib),2.737292734781901,1.0,0.0,0.0,True,baseline
spring,1000,float32,cuda,eager_rev,1.3822784423828125,1.9802759349001167,0.0,0.0,True,
spring,1000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
spring,1000,float32,cuda,compiled[fusion],0.0939573367436727,29.133358071329504,1.081185020506382,0.0,True,
spring,1000,float32,cuda,compiled[cuda_graphs],0.08205013275146485,33.361222498851255,0.34238035418093204,0.0,True,
spring,10000,float32,cuda,eager_fwd(lib),2.8117332458496094,1.0,0.0,0.0,True,baseline
spring,10000,float32,cuda,eager_rev,1.4390708923339843,1.953853184598395,0.0,0.0,True,
spring,10000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
spring,10000,float32,cuda,compiled[fusion],0.09251413345336915,30.392472381172293,0.31744204834103584,0.0,True,
spring,10000,float32,cuda,compiled[cuda_graphs],0.08348266283671062,33.68044514043914,0.45110527984797955,0.0,True,
spring,100000,float32,cuda,eager_fwd(lib),2.81604487101237,1.0,0.0,0.0,True,baseline
spring,100000,float32,cuda,eager_rev,1.4323711395263672,1.966002241530455,0.0,0.0,True,
spring,100000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
spring,100000,float32,cuda,compiled[fusion],0.0937333345413208,30.04315257525553,0.31033068522810936,0.0,True,
spring,100000,float32,cuda,compiled[cuda_graphs],0.08134933312733968,34.6166927589227,0.2891942895948887,0.0,True,
spring,1000,float64,cuda,eager_fwd(lib),2.762444814046224,1.0,0.0,0.0,True,baseline
spring,1000,float64,cuda,eager_rev,1.4152299245198567,1.9519406466644882,0.0,0.0,True,
spring,1000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
spring,1000,float64,cuda,compiled[fusion],0.09213013648986816,29.984160658982837,0.3117484822869301,0.0,True,
spring,1000,float64,cuda,compiled[cuda_graphs],0.08273279666900635,33.38996051466855,0.4346645977348089,0.0,True,
spring,10000,float64,cuda,eager_fwd(lib),2.7490740458170575,1.0,0.0,0.0,True,baseline
spring,10000,float64,cuda,eager_rev,1.4095648447672526,1.9502998077899598,0.0,0.0,True,
spring,10000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
spring,10000,float64,cuda,compiled[fusion],0.09300266901652018,29.559087657244934,0.311643211171031,0.0,True,
spring,10000,float64,cuda,compiled[cuda_graphs],0.08186773459116618,33.5794566631833,0.2893968876451254,0.0,True,
spring,100000,float64,cuda,eager_fwd(lib),2.7690635681152345,1.0,0.0,0.0,True,baseline
spring,100000,float64,cuda,eager_rev,1.422278340657552,1.946920999187144,0.0,0.0,True,
spring,100000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
spring,100000,float64,cuda,compiled[fusion],0.0939296007156372,29.480201629923958,0.3058447279036045,0.0,True,
spring,100000,float64,cuda,compiled[cuda_graphs],0.08300800323486328,33.3589950390739,0.4333760794252157,0.0,True,
area,1000,float32,cuda,eager_fwd(lib),4.8963475545247395,1.0,0.0,0.0,True,baseline
area,1000,float32,cuda,eager_rev,4.2242591857910154,1.159102067172962,0.0,nan,True,
area,1000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
area,1000,float32,cuda,compiled[fusion],0.15000534057617188,32.641154879671774,0.3852631114423275,nan,False,
area,1000,float32,cuda,compiled[cuda_graphs],0.09618666966756186,50.904637528748864,0.37634879164397717,nan,False,
area,10000,float32,cuda,eager_fwd(lib),4.904231262207031,1.0,0.0,0.0,True,baseline
area,10000,float32,cuda,eager_rev,4.22524159749349,1.1606984237579063,0.0,nan,True,
area,10000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
area,10000,float32,cuda,compiled[fusion],0.15139412879943848,32.3938008765451,0.38992657884955406,nan,False,
area,10000,float32,cuda,compiled[cuda_graphs],0.09758400122324626,50.256509271304154,0.5135142710059881,nan,False,
area,100000,float32,cuda,eager_fwd(lib),4.897312927246094,1.0,0.0,0.0,True,baseline
area,100000,float32,cuda,eager_rev,4.293506368001302,1.1406325058103672,0.0,nan,True,
area,100000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
area,100000,float32,cuda,compiled[fusion],0.15546666781107585,31.500726144059005,0.3965357169508934,nan,False,
area,100000,float32,cuda,compiled[cuda_graphs],0.13765974044799806,35.57549150759941,0.36325949989259243,nan,False,
area,1000,float64,cuda,eager_fwd(lib),5.046216328938802,1.0,0.0,0.0,True,baseline
area,1000,float64,cuda,eager_rev,4.296362813313802,1.1745321678377145,0.0,nan,True,
area,1000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
area,1000,float64,cuda,compiled[fusion],0.1502954641977946,33.575306852226674,0.3990418240427971,nan,False,
area,1000,float64,cuda,compiled[cuda_graphs],0.09725013573964437,51.88904149654254,0.37528431974351406,nan,False,
area,10000,float64,cuda,eager_fwd(lib),4.900048828125,1.0,0.0,0.0,True,baseline
area,10000,float64,cuda,eager_rev,4.227529652913412,1.1590808889413986,0.0,nan,True,
area,10000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
area,10000,float64,cuda,compiled[fusion],0.18751254081726074,26.131845938242147,0.4023751337081194,nan,False,
area,10000,float64,cuda,compiled[cuda_graphs],0.20110400517781576,24.365744599628368,0.3741653971374035,nan,False,
area,100000,float64,cuda,eager_fwd(lib),4.926292419433594,1.0,0.0,0.0,True,baseline
area,100000,float64,cuda,eager_rev,4.27779541015625,1.151596078610421,0.0,nan,True,
area,100000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
